Year,Month,Day,Hour,Minute,Second,HYY_AERO.cn
2023,01,26,14,00,00,1195.85333
2023,01,26,15,00,00,1283.66819
2023,01,26,16,00,00,1174.96105
2023,01,26,17,00,00,1128.13787
2023,01,26,18,00,00,1083.98045
2023,01,26,19,00,00,2052.95834
2023,01,26,20,00,00,3215.03028
2023,01,26,21,00,00,3832.04066
2023,01,26,22,00,00,3919.35706
2023,01,26,23,00,00,3690.46082
2023,01,27,00,00,00,3367.33871
2023,01,27,01,00,00,3288.33861
2023,01,27,02,00,00,3335.44338
2023,01,27,03,00,00,3451.5368
2023,01,27,04,00,00,3468.58659
2023,01,27,05,00,00,3313.01349
2023,01,27,06,00,00,3034.29246
2023,01,27,07,00,00,2816.97786
2023,01,27,08,00,00,6355.72914
2023,01,27,09,00,00,2327.86143
2023,01,27,10,00,00,2527.78741
2023,01,27,11,00,00,1814.79536
2023,01,27,12,00,00,NaN
2023,01,27,13,00,00,NaN
2023,01,27,14,00,00,2119.6965
2023,01,27,15,00,00,2642.46287
2023,01,27,16,00,00,2132.51445
2023,01,27,17,00,00,1813.91646
2023,01,27,18,00,00,1199.02925
2023,01,27,19,00,00,1034.5309
2023,01,27,20,00,00,1002.32727
2023,01,27,21,00,00,901.22122
2023,01,27,22,00,00,1137.62043
2023,01,27,23,00,00,899.96045
2023,01,28,00,00,00,783.32046
2023,01,28,01,00,00,858.15621
2023,01,28,02,00,00,973.02092
2023,01,28,03,00,00,1035.98702
2023,01,28,04,00,00,1145.52654
2023,01,28,05,00,00,1261.48693
2023,01,28,06,00,00,1140.20502
2023,01,28,07,00,00,1031.94332
2023,01,28,08,00,00,1024.32804
2023,01,28,09,00,00,1212.93621
2023,01,28,10,00,00,1194.76334
2023,01,28,11,00,00,925.61818
2023,01,28,12,00,00,982.53577
2023,01,28,13,00,00,880.76546
2023,01,28,14,00,00,1050.50654
2023,01,28,15,00,00,909.56303
2023,01,28,16,00,00,882.63516
2023,01,28,17,00,00,697.82849
2023,01,28,18,00,00,606.21393
2023,01,28,19,00,00,701.93106
2023,01,28,20,00,00,816.5309
2023,01,28,21,00,00,930.99454
2023,01,28,22,00,00,1228.43449
2023,01,28,23,00,00,1318.3447
2023,01,29,00,00,00,1106.35716
2023,01,29,01,00,00,885.47589
2023,01,29,02,00,00,640.79182
2023,01,29,03,00,00,454.80895
2023,01,29,04,00,00,354.41257
2023,01,29,05,00,00,414.93712
2023,01,29,06,00,00,550.8606
2023,01,29,07,00,00,557.42515
2023,01,29,08,00,00,693.8697
2023,01,29,09,00,00,848.23486
2023,01,29,10,00,00,838.38607
2023,01,29,11,00,00,1212.88545
2023,01,29,12,00,00,1737.88918
2023,01,29,13,00,00,1759.09595
2023,01,29,14,00,00,1459.91711
2023,01,29,15,00,00,1413.28571
2023,01,29,16,00,00,1359.21198
2023,01,29,17,00,00,1594.94312
2023,01,29,18,00,00,1522.45101
2023,01,29,19,00,00,1349.97979
2023,01,29,20,00,00,981.47497
2023,01,29,21,00,00,850.60954
2023,01,29,22,00,00,658.10242
2023,01,29,23,00,00,466.83878
2023,01,30,00,00,00,330.49682
2023,01,30,01,00,00,281.21818
2023,01,30,02,00,00,260.58606
2023,01,30,03,00,00,238.49196
2023,01,30,04,00,00,196.7103
2023,01,30,05,00,00,170.57727
2023,01,30,06,00,00,168.76712
2023,01,30,07,00,00,172.66243
2023,01,30,08,00,00,231.35167
2023,01,30,09,00,00,241.86909
2023,01,30,10,00,00,377.53909
2023,01,30,11,00,00,776.67196
2023,01,30,12,00,00,975.20988
2023,01,30,13,00,00,847.10424
2023,01,30,14,00,00,912.2544
2023,01,30,15,00,00,739.44031
2023,01,30,16,00,00,592.79121
2023,01,30,17,00,00,393.79303
2023,01,30,18,00,00,344.92924
2023,01,30,19,00,00,347.15545
2023,01,30,20,00,00,270.45182
2023,01,30,21,00,00,254.15151
2023,01,30,22,00,00,221.7253
2023,01,30,23,00,00,199.58985
2023,01,31,00,00,00,208.07379
2023,01,31,01,00,00,238.26924
2023,01,31,02,00,00,270.02545
2023,01,31,03,00,00,234.15136
2023,01,31,04,00,00,273.1606
2023,01,31,05,00,00,249.95166
2023,01,31,06,00,00,225.24576
2023,01,31,07,00,00,258.25393
2023,01,31,08,00,00,374.5003
2023,01,31,09,00,00,464.015
2023,01,31,10,00,00,788.56652
2023,01,31,11,00,00,1152.66168
2023,01,31,12,00,00,604.68833
2023,01,31,13,00,00,434.31546
2023,01,31,14,00,00,368.21394
2023,01,31,15,00,00,316.89485
2023,01,31,16,00,00,236.01242
2023,01,31,17,00,00,227.51455
2023,01,31,18,00,00,196.37318
2023,01,31,19,00,00,191.17181
2023,01,31,20,00,00,219.87666
2023,01,31,21,00,00,296.89833
2023,01,31,22,00,00,372.47455
2023,01,31,23,00,00,415.61848
2023,02,01,00,00,00,413.12272
2023,02,01,01,00,00,414.18045
2023,02,01,02,00,00,391.20939
2023,02,01,03,00,00,465.51364
2023,02,01,04,00,00,624.55182
2023,02,01,05,00,00,751.97682
2023,02,01,06,00,00,892.46605
2023,02,01,07,00,00,1169.0351
2023,02,01,08,00,00,3483.3909
2023,02,01,09,00,00,1627.90425
